,category,rmlse,mae,mape,Number_of_items,target_mean,target_std,target_min,target_max
0,"Sports, Books and More",0.19395765205946142,322.661744336662,0.13363389652114405,1272,1325.5998427672955,4636.019922490724,51,65999
1,Electronics,1.0250491938015516,3523.664729878872,1.3639699977424578,632,4431.443037974684,12729.655705861693,126,115000
2,Men's wear,0.7640503394854304,426.3757620257532,0.8175949577736366,334,687.8053892215569,883.2901950205933,75,10999
3,Women's wear,0.7426728171901885,310.336194674174,0.8920548988688418,384,483.9479166666667,559.0900593000925,80,5217
4,Bady and Kids,0.42984263585424903,254.8894548330221,0.42645678048295554,888,604.4572072072073,1789.821953435238,67,45599
5,Home and Furniture,0.2646241485575665,600.1577607054214,0.1955338111192701,1431,2180.9217330538086,5331.962955376412,59,49999
