,category,rmlse,mae,mape,Number_of_items,target_mean,target_std,target_min,target_max
0,"Sports, Books and More",0.15788878309137858,318.8369030437459,0.11021144666068046,1787,1484.17739227756,5159.982218731931,10,69999
1,Electronics,0.4838788049731838,3930.636223475793,0.4555375128833776,971,7121.487126673533,22704.352918141823,126,300490
2,Men's wear,0.18645308431907098,241.49758015486734,0.13731776896437678,2314,894.42783059637,1335.9837675230358,65,16495
3,Women's wear,0.1618828268042201,340.5992008263633,0.1090788069929569,2384,1205.6237416107383,5258.657097885497,74,85360
4,Bady and Kids,0.16638852577137855,97.84581956150106,0.13183855839096906,2313,502.4409857328145,1150.5342726494055,62,45599
5,Home and Furniture,0.3007181457609888,1692.5539274067266,0.24689994349488822,2056,2213.7563229571983,5103.966683476953,59,49999
