,category,rmlse,mae,mape,target_min,target_max
0,"Sports, Books and More",0.20229058477580747,240.90831385918383,0.18373935941753752,51,65999
1,Electronics,1.0542745829401297,3702.7048527198504,1.2258637391962952,126,115000
2,Men's wear,0.705110676419386,391.62575115272386,0.5960462865541426,75,10999
3,Women's wear,0.6464829556261581,264.85360701878864,0.651235039543676,80,5217
4,Bady and Kids,0.42468483118580813,255.7881923022571,0.42140450727001,67,45599
5,Home and Furniture,0.2832341279933988,924.7237168318071,0.2243406071992706,59,49999
